"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"248","08057",,,,570,,,,,,,14300,,,,,9200,,80200,,,,,,,,,,
"249","08058",,,,561.94,,,,6738.21,,,,,,,,,,80328,,,,,,,3600,,,
"250","08059",,,,390.82,,,,,,,16000,,,,,,,,,,,,,,,,,
"251","08060",,,,864.12,,,,,,,15500,,,,,,,80182,,,,,,,3900,,,
"252","08061",,,,565,,,,,,,13800,,,,,,,80240,,,,,,,,9300,,
"253","08062",,,,1065,,,,7552.16,,,12000,,,,,,,80340,,,,,12714.29,,3660,,,
"254","08063",,,,861.37,,,,,,,14000,,,,,9600,,,,,,,,,,,,
"255","08064",,,,867.79,,,,,,,15000,,,,,,,77734.29,,,,,,,,,,
"256","08065",,,,490,,,,,,,,,,,,2801.78,,,,,,,,,,,,
"257","08066",,,,,,,,,,,14452.82,,,,,2841.8,,,,,,,,,,,,
"258","08067",,,,1310,,,,0,,,15500,,,,,,,73154.68,,,,,,,,,,
"259","09004",,,,860,,,,,12204.28,,17879.43,,,,,12492.91,,26875,,,,,,,,,,11154.33
"260","09008",,,,859.25,,,,,12250,,17879.03,,,,,12659.56,,,,,,,10483.97,,,,,11150
"261","09009",,,,896.29,,,,,,,18109.22,,,,,12073.5,,26875,,,,,,,,,,
"262","09010",,,,858.39,,,,,,,17880.68,,,,,12500,,,,,,,,,,,,
"263","09011",,,,920.08,,,,8612.85,,,17982.23,,,,,12850,,26250,,,,,,,,,,
"264","09012",,,,928.38,,,,,,,17741,,,,,12849.19,,,,,,,,,,,,
"265","09013",,,,916.1,,,,12525,,,17426.32,,,,,12825,,,,,,,,,,,,
"266","10001",,,,962,,,,,,,14426.97,,,,,4300,,,,,,,9650,,,,,
"267","10002",,12820,,1847,,,,,,,25400,,,,6200,9050,5210,,,,,,,,4320,,,
"268","10003",,,,1230,,,,10500,,,12642.01,,,,,,,,,,,,,,,,,
"269","10004",,,,2473.44,,,12983.21,8269,,,50500.09,,,,,,,76500,,,5934.44,,7481.25,,10250,,,
"270","10005",0,,,1618.65,,,3550,12000,,,27761.47,,,,,17000,,72610.18,,,2900,,7000,,,,,
