"","cve_mun","Agave","Aguacate","Arroz palay","Avena forrajera en verde","Cacao","Canola","Cebada grano","Chile verde","Frambuesa","Fresa","Frijol","Girasol","Higuerilla","Jatropha","Mango","Manzana","Naranja","Nuez","Palma africana o de aceite","Papaya","Sorgo grano","Soya","Tomate rojo (jitomate)","Toronja (pomelo)","Trigo grano","Uva","Vainilla","Zarzamora"
"299","10034",,376,,2555.9,,,,,,,805,,,,129,162,91,,,,,,,102,,,,
"300","10035",,,,2915,,,,40,,,56.2,,,,,6,,,,,,,,,5,,,
"301","10036",,,,725,,,,21.53,,,8,,,,,,,362,,,,,126.05,,,,,
"302","10037",,21.5,,335,,,,,,,42,,,,1,8.2,8,1,,,,,,,,,,
"303","10038",20,,,244,,,226.5,20,,,10845,,,,,,,14,,,,,,,1766,6,,
"304","10039",,,,12158,,,,,,,10974,,,,,1750,,,,,,,2.23,,,,,
"305","11001",228,,,33,,,3987.5,57.2,,123,340,31,,,,,,,,,14015,,79,,6931.5,,,
"306","11002",198,,,272,,,101,3.5,,48,104.5,,,,,,,,,,2209,,45,,538,,,
"307","11003",,4,,640,,,785,40,,,4271,,,,,,,,,,92,,2,,856,20,,
"308","11004",3,,,600,,,220,,,,2186,,,,,,,,,,1040,,7,,215,,,1
